"Students per 1st October";"Sex, total";"Age, total";"All Denmark";"H60 Bachelors programs";77722;76270;73475;72119
"Students per 1st October";"Sex, total";"Age, total";"All Denmark";"H70 Masters programs";64086;63514;62355;63616
"Students per 1st October";"Sex, total";"Age, total";"All Denmark";"H80 PhD programs";9049;9322;9651;0
"Students per 1st October";"Sex, total";"Age, total";"Copenhagen";"H60 Bachelors programs";24445;25264;24159;23157
"Students per 1st October";"Sex, total";"Age, total";"Copenhagen";"H70 Masters programs";23168;23386;22620;22771
"Students per 1st October";"Sex, total";"Age, total";"Copenhagen";"H80 PhD programs";3010;3130;3205;0
