"Timestamp";"Age";"Area";"Men";"Women"
"2024M01";"5-9 years";"Frederiksberg";2309;2127
"2024M01";"5-9 years";"Drag�r";474;469
"2024M01";"5-9 years";"T�rnby";1481;1350
"2024M01";"5-9 years";"Albertslund";798;799
"2024M01";"5-9 years";"Ballerup";1508;1526
"2024M01";"5-9 years";"Br�ndby";1089;1094
"2024M01";"5-9 years";"Gentofte";2193;2083
"2024M01";"5-9 years";"Gladsaxe";2201;2065
"2024M01";"5-9 years";"Glostrup";686;619
"2024M01";"5-9 years";"Herlev";911;894
"2024M01";"5-9 years";"Hvidovre";1818;1728
"2024M01";"5-9 years";"H�je-Taastrup";1659;1614
"2024M01";"5-9 years";"Ish�j";733;705
"2024M01";"5-9 years";"Lyngby-Taarb�k";1665;1595
"2024M01";"5-9 years";"R�dovre";1431;1318
"2024M01";"5-9 years";"Vallensb�k";636;572
"2024M01";"5-9 years";"Aller�d";922;841
"2024M01";"5-9 years";"Egedal";1482;1386
"2024M01";"5-9 years";"Fredensborg";1268;1280
"2024M01";"5-9 years";"Frederikssund";1210;1102
"2024M01";"5-9 years";"Fures�";1477;1415
"2024M01";"5-9 years";"Gribskov";987;926
"2024M01";"5-9 years";"Halsn�s";720;695
"2024M01";"5-9 years";"Helsing�r";1681;1606
"2024M01";"5-9 years";"Hiller�d";1596;1504
"2024M01";"5-9 years";"H�rsholm";681;641
"2024M01";"5-9 years";"Rudersdal";1798;1766
"2024M01";"5-9 years";"Bornholm";922;843
"2024M01";"5-9 years";"Christians�";3;2
"2024M01";"5-9 years";"Region Sj�lland";22640;21238
"2024M01";"5-9 years";"Greve";1699;1516
"2024M01";"5-9 years";"K�ge";1791;1652
"2024M01";"5-9 years";"Lejre";940;880
"2024M01";"5-9 years";"Roskilde";2539;2482
"2024M01";"5-9 years";"Solr�d";885;795
"2024M01";"5-9 years";"Faxe";977;908
"2024M01";"5-9 years";"Guldborgsund";1347;1357
"2024M01";"5-9 years";"Holb�k";2020;1865
"2024M01";"5-9 years";"Kalundborg";1204;1096
"2024M01";"5-9 years";"Lolland";831;787
"2024M01";"5-9 years";"N�stved";2216;2030
"2024M01";"5-9 years";"Odsherred";661;666
"2024M01";"5-9 years";"Ringsted";1001;964
"2024M01";"5-9 years";"Slagelse";2047;1910
"2024M01";"5-9 years";"Sor�";896;769
"2024M01";"5-9 years";"Stevns";579;593
"2024M01";"5-9 years";"Vordingborg";1007;968
"2024M01";"5-9 years";"Region Syddanmark";33019;31095
"2024M01";"5-9 years";"Assens";1047;1025
"2024M01";"5-9 years";"Faaborg-Midtfyn";1424;1339
"2024M01";"5-9 years";"Kerteminde";586;600
"2024M01";"5-9 years";"Langeland";226;180
"2024M01";"5-9 years";"Middelfart";1070;971
"2024M01";"5-9 years";"Nordfyns";775;717
"2024M01";"5-9 years";"Nyborg";828;780
"2024M01";"5-9 years";"Odense";5318;4900
"2024M01";"5-9 years";"Svendborg";1609;1546
"2024M01";"5-9 years";"�r�";115;111
"2024M01";"5-9 years";"Billund";771;742
"2024M01";"5-9 years";"Esbjerg";3113;2991
"2024M01";"5-9 years";"Fan�";76;71
"2024M01";"5-9 years";"Fredericia";1354;1319
"2024M01";"5-9 years";"Haderslev";1433;1288
"2024M01";"5-9 years";"Kolding";2683;2494
"2024M01";"5-9 years";"S�nderborg";1856;1783
"2024M01";"5-9 years";"T�nder";978;903
"2024M01";"5-9 years";"Varde";1373;1329
"2024M01";"5-9 years";"Vejen";1245;1166
"2024M01";"5-9 years";"Vejle";3564;3360
"2024M01";"5-9 years";"Aabenraa";1575;1480
"2024M01";"5-9 years";"Region Midtjylland";37773;35543
"2024M01";"5-9 years";"Favrskov";1572;1524
"2024M01";"5-9 years";"Hedensted";1426;1237
"2024M01";"5-9 years";"Horsens";2867;2664
"2024M01";"5-9 years";"Norddjurs";839;778
"2024M01";"5-9 years";"Odder";635;695
"2024M01";"5-9 years";"Randers";2671;2500
"2024M01";"5-9 years";"Sams�";69;87
"2024M01";"5-9 years";"Silkeborg";3014;2824
"2024M01";"5-9 years";"Skanderborg";2450;2248
"2024M01";"5-9 years";"Syddjurs";1146;1142
"2024M01";"5-9 years";"Aarhus";9148;8693
"2024M01";"5-9 years";"Herning";2595;2456
"2024M01";"5-9 years";"Holstebro";1757;1661
"2024M01";"5-9 years";"Ikast-Brande";1236;1166
"2024M01";"5-9 years";"Lemvig";444;431
"2024M01";"5-9 years";"Ringk�bing-Skjern";1575;1458
"2024M01";"5-9 years";"Skive";1070;1008
"2024M01";"5-9 years";"Struer";498;444
"2024M01";"5-9 years";"Viborg";2761;2527
"2024M01";"5-9 years";"Region Nordjylland";15299;14595
"2024M01";"5-9 years";"Br�nderslev";1093;990
"2024M01";"5-9 years";"Frederikshavn";1425;1279
"2024M01";"5-9 years";"Hj�rring";1650;1542
"2024M01";"5-9 years";"Jammerbugt";1042;953
"2024M01";"5-9 years";"L�s�";27;30
"2024M01";"5-9 years";"Mariagerfjord";1041;984
"2024M01";"5-9 years";"Mors�";455;484
"2024M01";"5-9 years";"Rebild";1060;964
"2024M01";"5-9 years";"Thisted";1105;1160
"2024M01";"5-9 years";"Vesthimmerlands";988;893
"2024M01";"5-9 years";"Aalborg";5413;5316
"2024M01";"10-14 years";"All Denmark";164296;156225
"2024M01";"10-14 years";"Region Hovedstaden";51490;48997
"2024M01";"10-14 years";"Copenhagen";14071;13483
"2024M01";"10-14 years";"Frederiksberg";2339;2211
"2024M01";"10-14 years";"Drag�r";538;465
"2024M01";"10-14 years";"T�rnby";1467;1328
"2024M01";"10-14 years";"Albertslund";899;849
"2024M01";"10-14 years";"Ballerup";1437;1439
"2024M01";"10-14 years";"Br�ndby";1096;1045
"2024M01";"10-14 years";"Gentofte";2620;2430
"2024M01";"10-14 years";"Gladsaxe";2283;2190
"2024M01";"10-14 years";"Glostrup";638;599
"2024M01";"10-14 years";"Herlev";1006;944
"2024M01";"10-14 years";"Hvidovre";1717;1661
"2024M01";"10-14 years";"H�je-Taastrup";1634;1561
"2024M01";"10-14 years";"Ish�j";710;728
"2024M01";"10-14 years";"Lyngby-Taarb�k";1870;1759
"2024M01";"10-14 years";"R�dovre";1352;1233
